 bin       vmax       pmin      num
  1      0.0000      0.0000       0
  2      0.0000      0.0000       0
  3      0.0000      0.0000       0
  4     10.0000     -2.5000       3
  5      0.0000      0.0000       0
  6      7.1666     -3.6667       5
  7      8.0000     -5.5000       2
  8      5.0000     -2.2500       7
  9      8.2000     -2.0000       5
 10      2.3000     -1.5500       9
 11      0.6667     -1.6667       3
 12     -4.8889      1.0278       9
 13     -2.5000      3.5000       2
 14     -5.1667      1.8333       5
 15     -4.2500     -3.2500       3
 16    -17.0000      0.0000       2
 17      0.0000      0.0000       0
