 bin       vmax       pmin      num
  1      0.0000      0.0000       0
  2      0.0000      0.0000       0
  3      1.0000      2.0000       1
  4      1.2500     -1.5000       3
  5      6.0000     -2.0000       1
  6      3.5000     -0.5000       2
  7      1.5000     -0.6666       4
  8     -5.1667     -2.3333       4
  9     -4.9000     -2.6000       7
 10      5.5000     -8.0000       4
 11     -7.1667      0.3889       6
 12     -9.7500      1.3500       8
 13    -14.0000      3.2500       5
 14    -14.7500     -0.4167       5
 15    -18.6666      1.3333       4
 16      0.0000      0.0000       0
 17    -52.0000      5.0000       1
