 bin       vmax       pmin      num
  1      2.6667      1.3333       3
  2      5.1167     -1.1333      12
  3      5.9405     -2.8333      44
  4      4.4667     -2.4278      21
  5      6.8333     -3.1389      15
  6      6.9592     -3.3367      18
  7      0.7708     -1.8542      16
  8      3.2500     -3.3810      16
  9      3.2333     -2.4500      19
 10     -2.5250     -1.4083      15
 11      4.2222     -4.6667       6
 12     -5.0500     -0.5889      21
 13     -3.9047      1.0119      12
 14     -6.1250      0.5625      13
 15    -14.0512      0.3205      16
 16    -30.0000      2.0000       1
 17      0.0000      0.0000       0
